#
# Unicode mapping table for font Solarize.12x29.psf
#
0x000	U+fffd
0x16e	U+00a9 U+24b8
0x16f	U+00aa
0x170	U+00ae U+24c7
0x171	U+0386
0x172	U+0388
0x173	U+0389
0x174	U+038a
0x175	U+038c
0x176	U+038e
0x177	U+038f
0x178	U+0390
0x179	U+0393 U+0413
0x17a	U+0394 # DELTA
0x17b	U+0398
0x17c	U+039b
0x17d	U+039e
0x17e	U+03a0 U+041f
0x17f	U+03a3
0x180	U+03a6 U+0424
0x181	U+03a8
0x182	U+03a9 U+2126
0x183
0x184	U+03ac
0x185	U+03ad
0x186	U+03ae
0x187	U+03af
0x188	U+03b0
0x189	U+03b1
0x18a	U+03b2
0x18b	U+03b3
0x18c	U+03b4
0x18d	U+03b5
0x18e	U+03b6
0x18f	U+03b7
0x190	U+03b8
0x191	U+03b9
0x192	U+03ba U+0138 U+043a
0x193	U+03bb # lambda
0x194	U+03bc U+00b5
0x195	U+03bd
0x196	U+03be
0x197	U+03c0 # pi
0x198	U+03c1
0x199	U+03c2
0x19a	U+03c3
0x19b	U+03c4
0x19c	U+03c5
0x19d	U+03c6
0x19e	U+03c7
0x19f	U+03c8
0x1a0	U+03c9
0x1a1	U+03ca
0x1a2	U+03cb
0x1a3
0x1a4	U+03cd
0x1a5	U+03ce
0x1a6
0x1a7
0x1a8	U+0402
0x1a9	U+0403
0x1aa	U+0404
0x1ab	U+0409
0x1ac	U+040a
0x1ad	U+040b
0x1ae	U+040c
0x1af	U+040d
0x1b0	U+040e
0x1b1	U+040f
0x1b2	U+0411
0x1b3	U+0414
0x1b4	U+0416
0x1b5	U+0417
0x1b6	U+0418
0x1b7	U+0419
0x1b8	U+041b
0x1b9
0x1ba	U+0423
0x1bb
0x1bc	U+0426
0x1bd	U+0427
0x1be	U+0428
0x1bf	U+0429
0x1c0	U+042a
0x1c1	U+042b
0x1c2	U+042c
0x1c3	U+042d
0x1c4	U+042e
0x1c5	U+042f
0x1c6	U+0431
0x1c7	U+0432
0x1c8	U+0433
0x1c9	U+0434
0x1ca	U+0436
0x1cb	U+0437
0x1cc	U+0438
0x1cd	U+0439
0x1ce
0x1cf	U+043b
0x1d0	U+043c
0x1d1	U+043d
0x1d2   U+043f
0x1d3	U+0442
0x1d4
0x1d5	U+0444
0x1d6	U+0446
0x1d7	U+0447
